time,Ax,Ay,Az,Gx,Gy,Gz
1711539063.766,8.201,-6.859,2.443,0.008,0.237,0.183
1711539063.871,8.387,-6.943,2.381,0.031,0.229,0.176
1711539063.977,8.402,-6.749,2.424,0.038,0.244,0.168
1711539064.082,8.392,-6.862,2.397,0.023,0.252,0.168
1711539064.188,8.351,-6.807,2.309,0.015,0.229,0.16
1711539064.293,8.395,-6.878,2.302,0.046,0.244,0.191
1711539064.399,8.356,-6.847,2.409,0.031,0.244,0.191
1711539064.505,8.318,-6.886,2.335,0.023,0.221,0.191
1711539064.611,8.32,-6.826,2.33,0.053,0.252,0.16
1711539064.716,8.404,-6.874,2.409,0.031,0.229,0.145
1711539064.822,8.38,-6.823,2.417,0.069,0.237,0.176
1711539064.927,8.44,-6.826,2.345,0.015,0.237,0.168
1711539065.033,8.581,-6.862,2.335,0.015,0.214,0.183
1711539065.138,8.351,-6.874,2.263,0.015,0.221,0.183
1711539065.243,8.392,-6.871,2.397,0.023,0.237,0.168
1711539065.349,8.545,-6.857,2.323,0.008,0.229,0.183
1711539065.455,8.363,-6.852,2.409,0.008,0.237,0.168
1711539065.561,8.366,-6.857,2.328,0.023,0.244,0.183
1711539065.666,8.387,-7.005,2.436,0.023,0.214,0.183
1711539065.772,8.395,-6.864,2.4,0.031,0.252,0.16
1711539065.878,8.373,-6.852,2.302,0.023,0.298,0.16
1711539065.984,8.318,-7.008,2.357,0.023,0.183,0.183
1711539066.089,8.562,-6.835,2.441,0.015,0.305,0.168
1711539066.195,8.385,-6.835,2.282,0.053,0.229,0.16
1711539066.301,8.368,-7.017,2.338,0.015,0.237,0.168
1711539066.407,8.308,-6.859,2.165,0.031,0.267,0.176
1711539066.513,8.39,-6.876,2.431,0.023,0.221,0.191
1711539066.618,8.339,-6.862,2.318,0.023,0.244,0.16
1711539066.724,8.38,-6.84,2.326,0.046,0.237,0.198
1711539066.83,8.344,-6.859,2.376,0.038,0.267,0.16
1711539066.936,8.442,-6.907,2.388,0.015,0.198,0.168
1711539067.042,8.316,-6.799,2.402,0.008,0.198,0.176
1711539067.147,8.361,-6.747,2.388,0.031,0.252,0.176
1711539067.253,8.416,-6.833,2.419,0.031,0.244,0.191
1711539067.359,8.361,-6.922,2.431,0.046,0.237,0.176
1711539067.465,8.339,-6.787,2.328,0.0,0.26,0.183
1711539067.57,8.402,-6.922,2.34,0.023,0.252,0.16
1711539067.676,8.383,-7.01,2.359,0.015,0.237,0.176
1711539067.782,8.339,-6.869,2.369,0.0,0.237,0.176
1711539067.888,8.349,-6.809,2.462,0.015,0.221,0.176
1711539067.993,8.28,-6.776,2.27,0.031,0.229,0.145
1711539068.099,8.363,-6.843,2.338,0.046,0.237,0.183
1711539068.205,8.347,-6.852,2.35,0.023,0.26,0.16
1711539068.31,8.397,-6.869,2.436,0.015,0.221,0.168
1711539068.416,8.397,-6.84,2.373,0.031,0.252,0.153
1711539068.521,8.428,-6.867,2.436,0.015,0.26,0.183
1711539068.626,8.347,-6.914,2.306,0.023,0.244,0.176
1711539068.732,8.335,-6.857,2.29,0.031,0.26,0.168
1711539068.837,8.342,-6.84,2.45,0.046,0.252,0.16
1711539068.943,8.337,-6.914,2.431,0.046,0.214,0.16
1711539069.049,8.368,-6.922,2.4,0.038,0.252,0.183
1711539069.155,8.38,-6.862,2.338,0.023,0.237,0.183
1711539069.26,8.409,-6.895,2.373,0.023,0.229,0.168
1711539069.366,8.383,-6.958,2.393,0.031,0.038,0.145
1711539069.472,8.349,-6.771,2.036,0.031,0.0,0.183
1711539069.578,8.395,-6.855,2.354,-1.947,0.374,0.153
1711539069.683,8.347,-6.754,2.393,0.046,0.221,0.168
1711539069.789,8.395,-6.89,2.318,0.031,0.229,0.176
1711539069.895,8.198,-6.974,2.354,0.031,0.092,0.153
1711539070.001,8.402,-6.838,2.261,0.031,0.145,0.183
1711539070.107,8.347,-6.895,2.273,0.038,0.237,0.168
1711539070.212,8.32,-6.835,2.45,0.008,0.214,0.176
1711539070.318,8.356,-6.831,2.33,0.008,0.145,0.153
1711539070.424,8.311,-6.886,2.29,0.023,0.252,0.176
1711539070.53,8.354,-6.852,2.407,0.031,0.252,0.16
1711539070.635,8.38,-6.869,2.342,0.053,0.237,0.198
1711539070.741,8.316,-6.857,2.328,0.015,0.229,0.183
1711539070.847,8.335,-6.855,2.352,0.031,0.237,0.153
1711539070.952,8.38,-6.826,2.282,0.038,0.252,0.168
1711539071.058,8.371,-6.819,2.431,0.015,0.237,0.145
1711539071.164,8.363,-6.871,2.361,0.023,0.282,0.198
1711539071.269,8.378,-6.874,2.381,0.023,0.237,0.191
1711539071.375,8.351,-6.867,2.304,0.015,0.206,0.153
1711539071.48,8.32,-6.852,2.383,0.008,0.221,0.168
1711539071.586,8.397,-6.747,2.448,0.038,0.229,0.176
1711539071.691,8.342,-6.867,2.371,0.0,0.229,0.16
1711539071.797,8.397,-6.864,2.309,0.053,0.206,0.153
1711539071.902,8.368,-6.859,2.309,0.076,0.237,0.153
1711539072.008,8.423,-6.826,2.417,0.038,0.252,0.145
1711539072.114,8.327,-6.881,2.476,0.008,0.237,0.176
1711539072.22,8.344,-6.857,2.366,0.061,0.237,0.176
1711539072.326,8.383,-6.886,2.395,0.023,0.229,0.176
1711539072.431,8.409,-6.871,2.369,0.031,0.229,0.183
1711539072.537,8.385,-6.855,2.275,0.008,0.252,0.168
1711539072.643,8.363,-6.847,2.151,0.031,0.229,0.153
1711539072.748,8.454,-6.859,2.318,0.023,0.267,0.183
1711539072.853,8.385,-6.895,2.417,0.015,0.229,0.198
1711539072.959,8.325,-6.833,2.35,0.008,0.237,0.168
1711539073.064,8.335,-6.9,2.388,0.023,0.221,0.168
1711539073.17,8.373,-6.852,2.414,0.031,0.229,0.168
1711539073.275,8.402,-6.847,2.235,0.031,0.229,0.16
1711539073.381,8.361,-6.828,2.17,0.038,0.252,0.16
1711539073.487,8.411,-6.876,2.383,0.015,0.26,0.153
1711539073.593,8.38,-6.778,2.371,0.015,0.237,0.16
1711539073.699,8.387,-6.881,2.335,0.031,0.244,0.16
1711539073.804,8.416,-6.878,2.419,-1.939,0.214,0.183
1711539073.91,8.371,-6.847,2.397,0.023,0.214,0.176
1711539074.016,8.339,-6.833,2.16,0.031,0.244,0.168
1711539074.121,8.373,-7.034,2.359,0.046,0.252,0.16
1711539074.227,8.385,-6.85,2.335,0.023,0.221,0.183
1711539074.333,8.366,-6.895,2.472,0.015,0.229,0.168
1711539074.439,8.339,-6.874,2.371,1.947,0.221,0.16
1711539074.544,8.383,-6.819,2.4,0.038,0.244,0.153
1711539074.65,8.375,-6.886,2.34,0.015,0.237,0.16
1711539074.756,8.325,-6.84,2.369,0.046,0.252,0.168
1711539074.861,8.426,-6.998,2.237,0.061,0.252,0.176
1711539074.967,8.395,-6.878,2.369,0.023,0.252,0.153
1711539075.072,8.378,-7.032,2.309,0.008,0.26,0.176
1711539075.177,8.316,-6.809,2.175,0.023,0.26,0.183
1711539075.283,8.325,-6.864,2.405,0.031,0.244,0.153
1711539075.388,8.387,-6.859,2.335,0.015,0.237,0.183
1711539075.494,8.383,-6.905,2.213,0.008,0.229,0.16
1711539075.6,8.351,-6.893,2.369,-1.947,0.237,0.191
1711539075.705,8.407,-6.783,2.302,0.023,0.229,0.183
1711539075.811,8.399,-6.843,2.357,-0.008,0.206,0.176
1711539075.917,8.385,-6.912,2.342,0.046,0.237,0.176
1711539076.023,8.402,-6.89,2.409,0.046,0.229,0.153
1711539076.128,8.39,-6.807,2.373,0.023,0.214,0.191
1711539076.234,8.363,-6.871,2.294,0.023,0.237,0.191
1711539076.34,8.316,-6.862,2.345,0.0,0.252,0.168
1711539076.445,8.342,-6.826,2.381,0.069,0.221,0.168
1711539076.551,8.306,-6.907,2.4,0.015,0.229,0.168
1711539076.657,8.287,-6.802,2.4,0.023,0.237,0.16
1711539076.763,8.306,-6.886,2.316,0.038,0.237,0.168
1711539076.868,8.359,-7.017,2.321,0.008,0.252,0.153
1711539076.974,8.375,-6.776,2.359,0.023,0.244,0.16
1711539077.08,8.359,-6.867,2.369,0.038,0.244,0.183
1711539077.186,8.371,-6.893,2.323,0.015,0.214,0.191
1711539077.292,8.268,-6.855,2.457,0.031,0.084,0.168
1711539077.398,8.373,-6.876,2.1,0.008,0.252,0.183
1711539077.503,8.402,-6.845,2.323,0.008,0.26,0.183
1711539077.609,8.344,-6.874,2.366,0.031,0.206,0.153
1711539077.715,8.301,-6.965,2.345,0.023,0.237,0.183
1711539077.821,8.344,-6.826,2.402,0.023,0.282,0.16
1711539077.927,8.397,-6.847,2.333,0.061,0.214,0.191
1711539078.033,8.385,-6.833,2.457,0.031,0.198,0.153
1711539078.138,8.378,-6.826,2.275,0.023,0.221,0.176
1711539078.244,8.366,-6.907,2.381,0.046,0.275,0.176
1711539078.35,8.368,-6.831,2.338,0.008,0.244,0.176
1711539078.456,8.39,-6.914,2.395,1.947,0.214,0.168
1711539078.561,8.316,-6.79,2.294,0.053,0.252,0.168
1711539078.667,8.366,-6.867,2.345,0.031,0.275,0.191
1711539078.773,8.349,-6.917,2.345,0.015,0.237,0.16
1711539078.879,8.368,-6.893,2.177,0.015,0.206,0.176
1711539078.984,8.337,-6.893,2.429,0.023,0.244,0.168
1711539079.09,8.404,-6.843,2.366,0.031,0.267,0.176
1711539079.196,8.354,-6.902,2.34,0.008,0.214,0.176
1711539079.302,8.404,-6.905,2.424,0.015,0.237,0.168
1711539079.407,8.407,-6.828,2.429,0.038,0.244,0.153
1711539079.513,8.354,-6.826,2.395,0.023,0.221,0.176
1711539079.618,8.397,-6.828,2.381,0.015,0.221,0.176
1711539079.724,8.342,-6.752,2.436,0.015,0.252,0.183
1711539079.829,8.399,-6.943,2.393,0.031,0.229,0.198
1711539079.934,8.378,-7.049,2.383,0.008,0.229,0.16
1711539080.04,8.397,-6.831,2.39,0.046,0.229,0.153
1711539080.146,8.371,-6.843,2.405,0.031,0.244,0.168
1711539080.252,8.363,-6.888,2.385,0.038,0.229,0.176
1711539080.357,8.363,-6.756,2.364,0.008,0.229,0.168
1711539080.463,8.378,-6.847,2.421,0.015,0.237,0.176
1711539080.569,8.397,-7.003,2.45,0.038,0.229,0.168
1711539080.675,8.347,-6.888,2.378,0.008,0.237,0.183
1711539080.78,8.277,-6.907,2.364,0.023,0.244,0.191
1711539080.886,8.28,-6.878,2.378,0.015,0.229,0.168
1711539080.992,8.366,-6.871,2.302,0.023,0.221,0.145
1711539081.097,8.371,-6.931,2.357,0.038,0.244,0.183
1711539081.203,8.347,-6.907,2.376,0.015,0.244,0.168
1711539081.309,8.337,-6.867,2.376,0.069,0.229,0.145
1711539081.415,8.411,-6.876,2.275,0.023,0.237,0.176
1711539081.521,8.299,-6.838,2.412,0.038,0.237,0.16
1711539081.627,8.486,-6.888,2.405,0.023,0.237,0.176
1711539081.732,8.399,-6.833,2.249,0.015,0.221,0.153
1711539081.838,8.32,-6.821,2.311,0.031,0.237,0.168
1711539081.944,8.399,-6.776,2.338,0.031,0.252,0.183
1711539082.051,8.351,-6.917,2.417,0.038,0.214,0.16
1711539082.157,8.325,-7.029,2.206,0.023,0.221,0.183
1711539082.263,8.38,-6.768,2.318,0.023,0.244,0.145
1711539082.37,8.397,-6.878,2.189,0.023,0.221,0.168
1711539082.475,8.323,-6.85,2.326,0.023,0.221,0.176
1711539082.581,8.313,-6.89,2.395,0.023,0.26,0.168
1711539082.687,8.375,-6.859,2.309,0.023,0.252,0.198
1711539082.794,8.351,-6.869,2.33,0.031,0.229,0.168
1711539082.9,8.404,-6.89,2.364,0.031,0.244,0.168
1711539083.005,8.423,-6.838,2.436,0.023,0.221,0.168
1711539083.112,8.335,-7.046,2.287,0.031,0.237,0.176
1711539083.217,8.366,-6.907,2.287,0.053,0.237,0.183
1711539083.323,8.407,-6.845,2.373,0.023,0.229,0.168
1711539083.429,8.349,-6.852,2.342,0.008,0.244,0.191
1711539083.535,8.385,-6.816,2.405,0.015,0.244,0.168
1711539083.641,8.392,-6.838,2.297,0.0,0.221,0.183
1711539083.746,8.371,-6.843,2.426,0.038,0.221,0.176
1711539083.852,8.347,-6.821,2.292,0.0,0.244,0.176
1711539083.958,8.423,-6.84,2.369,0.046,0.229,0.168
1711539084.064,8.366,-6.886,2.34,0.023,0.229,0.153
1711539084.169,8.39,-6.917,2.364,0.023,0.244,0.176
1711539084.275,8.359,-6.867,2.4,0.015,0.252,0.183
1711539084.381,8.428,-6.843,2.287,0.031,0.267,0.153
1711539084.487,8.342,-6.878,2.402,-0.015,0.145,0.168
1711539084.593,8.416,-6.768,2.27,0.031,0.191,0.191
1711539084.699,8.354,-6.754,2.419,0.031,0.237,0.168
1711539084.804,8.327,-6.843,2.237,0.015,0.198,0.168
1711539084.91,8.39,-6.749,2.373,0.023,0.252,0.168
1711539085.015,8.418,-6.828,2.302,0.038,0.237,0.176
1711539085.12,8.354,-6.886,2.373,0.031,0.237,0.16
1711539085.226,8.387,-6.9,2.35,1.947,0.275,0.183
1711539085.331,8.409,-6.867,2.259,0.031,0.244,0.153
1711539085.437,8.428,-6.833,2.328,0.023,0.252,0.16
1711539085.542,8.335,-6.857,2.366,0.008,0.214,0.176
1711539085.648,8.361,-6.924,2.33,0.023,0.206,0.168
1711539085.753,8.339,-6.85,2.426,0.038,0.26,0.183
1711539085.859,8.395,-6.867,2.33,0.023,0.252,0.168
1711539085.964,8.402,-6.924,2.366,0.015,0.29,0.176
1711539086.069,8.342,-6.814,2.345,0.015,0.168,0.153
1711539086.175,8.395,-6.876,2.345,0.023,0.198,0.145
1711539086.28,8.526,-6.864,2.409,0.008,0.237,0.16
1711539086.386,8.332,-6.852,2.4,0.015,0.229,0.168
1711539086.492,8.361,-6.752,2.263,0.008,0.198,0.168
1711539086.598,8.378,-6.855,2.366,0.023,0.221,0.16
1711539086.704,8.349,-7.039,2.443,0.015,0.221,0.168
1711539086.81,8.395,-6.864,2.417,0.023,0.244,0.191
1711539086.916,8.359,-6.833,2.376,0.008,0.237,0.183
1711539087.021,8.344,-6.826,2.393,0.023,0.214,0.16
1711539087.127,8.332,-7.037,2.383,0.015,0.237,0.137
1711539087.233,8.373,-6.857,2.357,0.031,0.237,0.191
1711539087.339,8.371,-6.859,2.395,0.023,0.221,0.168
1711539087.445,8.339,-6.874,2.393,0.023,0.221,0.176
1711539087.551,8.356,-6.878,2.366,0.023,0.244,0.176
1711539087.656,8.371,-6.747,2.34,0.008,0.244,0.176
1711539087.762,8.383,-6.881,2.366,0.031,0.206,0.16
1711539087.867,8.361,-6.883,2.347,0.031,0.26,0.16
1711539087.973,8.339,-6.907,2.273,0.0,0.221,0.176
1711539088.079,8.361,-6.881,2.407,0.015,0.244,0.176
1711539088.184,8.411,-6.792,2.405,0.031,0.237,0.183
1711539088.289,8.349,-6.876,2.323,0.0,0.214,0.183
1711539088.395,8.363,-6.878,2.328,0.015,0.221,0.168
1711539088.5,8.356,-6.826,2.297,0.023,0.244,0.176
1711539088.067,8.359,-6.886,2.33,-0.008,0.237,0.176
1711539088.173,8.359,-6.871,2.292,0.038,0.237,0.191
1711539088.279,8.469,-6.85,2.46,0.038,0.198,0.183
1711539088.385,8.38,-6.847,2.263,0.023,0.206,0.176
1711539088.49,8.375,-6.881,2.357,0.038,0.229,0.168
1711539088.596,8.299,-6.886,2.297,0.031,0.29,0.183
1711539088.702,8.385,-6.864,2.373,0.031,0.214,0.168
1711539088.808,8.39,-6.869,2.381,0.023,0.214,0.153
1711539088.914,8.428,-6.9,2.235,0.038,0.26,0.168
1711539089.019,8.399,-6.89,2.261,0.023,0.229,0.183
1711539089.125,8.361,-6.871,2.287,0.023,0.252,0.153
1711539089.231,8.363,-6.886,2.409,0.023,0.229,0.168
1711539089.336,8.32,-6.895,2.314,0.023,0.206,0.168
