1711313709.941,9.846,0.089,3.583,-0.473,0.168,-0.13
1711313709.941,9.846,0.089,3.583,-0.473,0.168,-0.13
1711313710.047,9.942,0.254,3.513,-0.328,0.191,-0.069
1711313710.047,9.942,0.254,3.513,-0.328,0.191,-0.069
1711313710.153,9.769,0.232,3.856,-0.901,-0.282,-0.13
1711313710.153,9.769,0.232,3.856,-0.901,-0.282,-0.13
1711313710.259,9.808,0.206,3.839,-0.389,-0.137,0.099
1711313710.259,9.808,0.206,3.839,-0.389,-0.137,0.099
1711313710.364,9.731,0.139,3.693,-0.511,-0.366,-0.008
1711313710.364,9.731,0.139,3.693,-0.511,-0.366,-0.008
1711313710.47,9.798,0.014,3.583,-0.702,-0.557,0.076
1711313710.47,9.798,0.014,3.583,-0.702,-0.557,0.076
1711313710.575,9.942,0.091,3.688,-0.374,-0.634,-0.16
1711313710.575,9.942,0.091,3.688,-0.374,-0.634,-0.16
1711313710.681,9.781,0.115,3.511,-0.58,-0.74,-0.076
1711313710.681,9.781,0.115,3.511,-0.58,-0.74,-0.076
1711313710.786,9.918,0.132,3.401,-0.718,-0.534,0.046
1711313710.786,9.918,0.132,3.401,-0.718,-0.534,0.046
1711313710.892,9.685,-0.046,3.573,-0.321,-0.366,0.023
1711313710.892,9.685,-0.046,3.573,-0.321,-0.366,0.023
1711313710.997,9.872,0.053,3.492,-0.435,-0.382,0.145
1711313710.997,9.872,0.053,3.492,-0.435,-0.382,0.145
1711313711.103,9.98,-0.038,3.351,-0.725,-0.489,0.084
1711313711.103,9.98,-0.038,3.351,-0.725,-0.489,0.084
1711313711.209,9.908,-0.089,3.348,-0.305,-0.122,0.191
1711313711.209,9.908,-0.089,3.348,-0.305,-0.122,0.191
1711313711.315,9.714,-0.383,3.051,-0.16,0.412,0.176
1711313711.315,9.714,-0.383,3.051,-0.16,0.412,0.176
1711313711.421,9.939,-0.115,3.123,-0.305,-0.176,0.328
1711313711.421,9.939,-0.115,3.123,-0.305,-0.176,0.328
1711313711.527,9.824,-0.235,3.133,-0.267,-0.214,0.038
1711313711.527,9.824,-0.235,3.133,-0.267,-0.214,0.038
1711313711.632,9.827,-0.086,3.082,-0.237,-0.267,0.176
1711313711.632,9.827,-0.086,3.082,-0.237,-0.267,0.176
1711313711.738,9.714,-0.319,3.284,-0.573,-0.443,-0.115
1711313711.738,9.714,-0.319,3.284,-0.573,-0.443,-0.115
1711313711.844,9.767,-0.235,3.257,-0.412,-0.244,-0.099
1711313711.844,9.767,-0.235,3.257,-0.412,-0.244,-0.099
1711313711.95,9.899,-0.247,3.262,-0.214,-0.244,0.0
1711313711.95,9.899,-0.247,3.262,-0.214,-0.244,0.0
1711313712.056,9.824,-0.139,3.099,-0.321,-0.107,-0.076
1711313712.056,9.824,-0.139,3.099,-0.321,-0.107,-0.076
1711313712.162,9.786,-0.189,3.351,-0.573,-0.206,-0.107
1711313712.162,9.786,-0.189,3.351,-0.573,-0.206,-0.107
1711313712.268,9.822,-0.134,3.037,-0.351,-0.191,0.031
1711313712.268,9.822,-0.134,3.037,-0.351,-0.191,0.031
1711313712.374,9.863,-0.29,3.003,-0.221,-0.084,-0.137
1711313712.374,9.863,-0.29,3.003,-0.221,-0.084,-0.137
1711313712.479,9.815,-0.259,3.145,-0.26,0.0,-0.237
1711313712.479,9.815,-0.259,3.145,-0.26,0.0,-0.237
1711313712.585,9.769,-0.031,2.917,-0.557,-0.015,-0.115
1711313712.585,9.769,-0.031,2.917,-0.557,-0.015,-0.115
1711313712.691,9.767,-0.053,3.037,-0.328,-0.061,-0.069
1711313712.691,9.767,-0.053,3.037,-0.328,-0.061,-0.069
