time,Ax,Ay,Az,Gx,Gy,Gz
1711476192.77,-3.104,6.404,8.035,-0.489,-0.069,-0.061
1711476192.875,-2.934,6.493,7.918,-0.412,-0.069,-0.115
1711476192.981,-3.092,6.407,8.062,-0.55,-0.046,-0.122
1711476193.086,-3.087,6.469,7.997,-0.351,-0.092,-0.107
1711476193.192,-3.08,6.586,8.023,-0.252,-0.107,-0.084
1711476193.297,-2.943,6.507,8.009,-0.382,-0.061,-0.107
1711476193.403,-3.13,6.452,7.935,-0.366,-0.076,-0.092
1711476193.508,-3.09,6.421,8.026,-0.374,-0.092,-0.099
1711476193.614,-3.097,6.414,8.112,-0.321,-0.084,-0.099
1711476193.719,-3.054,6.469,7.999,-0.374,-0.107,-0.115
1711476193.825,-3.051,6.44,7.997,-0.366,-0.076,-0.107
1711476193.93,-3.114,6.467,8.009,-0.359,-0.076,-0.107
1711476194.036,-3.185,6.452,8.004,-0.237,-0.099,-0.084
1711476194.141,-2.975,6.428,7.963,-0.351,-0.092,-0.107
1711476194.247,-3.111,6.455,7.817,-0.359,-0.084,-0.092
1711476194.353,-3.135,6.517,7.951,-0.382,-0.099,-0.115
1711476194.458,-3.135,6.39,8.05,-0.374,-0.084,-0.115
1711476194.564,-2.934,6.505,8.062,-0.351,-0.092,-0.107
1711476194.669,-3.159,6.479,8.019,-0.313,-0.061,-0.107
1711476194.775,-3.157,6.476,8.071,-0.389,-0.076,-0.099
1711476194.881,-3.08,6.589,8.004,-0.336,-0.099,-0.092
1711476194.986,-3.063,6.438,8.086,-0.344,-0.069,-0.076
1711476195.092,-3.087,6.32,7.954,-0.351,-0.084,-0.099
1711476195.198,-3.14,6.457,7.951,-0.359,-0.092,-0.092
1711476195.303,-3.051,6.459,7.985,-0.344,-0.069,-0.107
1711476195.409,-3.121,6.354,8.057,-0.359,-0.076,-0.092
1711476195.514,-2.929,6.562,8.066,-0.588,-0.053,-0.137
1711476195.62,-3.102,6.589,7.841,-0.321,-0.069,-0.122
1711476195.726,-3.09,6.435,8.117,-1.053,0.0,-0.221
1711476195.831,-3.114,6.452,8.004,-0.71,-0.023,-0.115
1711476195.937,-3.051,6.505,7.923,-0.42,-0.084,-0.115
1711476196.042,-3.183,6.462,7.975,-0.336,-0.092,-0.115
1711476196.148,-3.149,6.493,7.997,-0.305,-0.061,-0.099
1711476196.253,-3.123,6.481,7.939,-0.366,-0.107,-0.107
1711476196.359,-3.099,6.469,8.011,-0.336,-0.099,-0.099
1711476196.464,-3.097,6.486,8.119,-0.389,-0.046,-0.107
1711476196.57,-3.202,6.407,7.968,-0.42,0.061,-0.084
1711476196.676,-3.082,6.5,8.035,-0.412,-0.061,-0.084
1711476196.781,-3.109,6.498,8.04,-0.389,-0.061,-0.099
1711476196.887,-3.099,6.474,7.887,-0.397,-0.084,-0.122
1711476196.992,-3.056,6.44,7.954,-0.344,-0.084,-0.115
1711476197.098,-3.09,6.491,7.971,-0.389,-0.069,-0.107
1711476197.203,-3.142,6.514,8.102,-0.328,-0.076,-0.099
1711476197.308,-3.078,6.498,8.1,-0.382,-0.092,-0.115
1711476197.414,-3.056,6.447,8.09,-0.336,-0.069,-0.115
1711476197.519,-3.106,6.486,8.009,-0.351,-0.076,-0.107
1711476197.625,-3.14,6.491,7.995,-0.336,-0.069,-0.107
1711476197.73,-3.135,6.388,7.937,-0.397,-0.076,-0.099
1711476197.836,-3.099,6.529,7.86,-0.382,-0.099,-0.084
1711476197.942,-3.205,6.459,7.973,-0.351,-0.076,-0.084
1711476198.048,-2.955,6.584,7.913,-0.389,-0.092,-0.084
1711476198.153,-3.02,6.411,7.928,-0.366,-0.069,-0.115
1711476198.259,-3.066,6.438,8.038,-0.405,-0.046,-0.122
1711476198.365,-3.149,6.483,8.098,-0.374,-0.076,-0.107
1711476198.471,-3.114,6.426,8.1,-0.351,-0.069,-0.099
1711476198.577,-3.159,6.464,8.033,-0.305,-0.107,-0.099
1711476198.683,-3.137,6.335,8.102,-0.321,-0.084,-0.099
1711476198.789,-3.092,6.445,7.992,-0.389,-0.069,-0.107
1711476198.895,-3.044,6.316,8.021,-0.366,-0.076,-0.092
1711476199.001,-3.118,6.543,8.095,-0.45,-0.076,-0.137
1711476199.107,-3.066,6.505,7.932,-0.382,-0.084,-0.115
1711476199.213,-3.09,6.479,8.074,-0.351,-0.092,-0.099
1711476199.318,-2.999,6.483,8.016,-0.359,-0.092,-0.107
1711476199.424,-3.109,6.459,7.961,-0.221,-0.099,-0.053
1711476199.532,-3.092,6.519,8.026,-0.275,-0.122,-0.084
1711476199.637,-3.097,6.318,8.052,-0.313,-0.076,-0.076
1711476199.743,-3.049,6.56,8.007,-0.366,-0.069,-0.092
1711476199.849,-3.058,6.455,7.935,-0.344,-0.107,-0.107
1711476199.954,-3.075,6.498,7.856,-0.305,-0.076,-0.099
1711476200.06,-3.118,6.486,8.033,-0.382,-0.084,-0.099
1711476200.166,-3.015,6.505,7.995,-0.359,-0.061,-0.115
1711476200.271,-3.097,6.486,7.973,-0.305,-0.122,-0.099
1711476200.377,-3.07,6.572,7.88,-0.351,-0.092,-0.107
1711476200.482,-3.176,6.411,7.999,-0.344,-0.092,-0.076
1711476200.587,-3.176,6.57,7.951,-0.336,-0.092,-0.099
1711476200.693,-3.154,6.481,8.098,-0.397,-0.076,-0.107
1711476200.798,-3.104,6.471,8.004,-0.374,-0.069,-0.115
1711476200.904,-3.078,6.445,7.935,-0.328,-0.107,-0.084
1711476201.01,-3.116,6.385,7.884,-0.412,-0.069,-0.115
1711476201.115,-3.092,6.481,7.832,-0.481,-0.069,-0.13
1711476201.221,-3.142,6.479,7.959,-0.427,-0.061,-0.122
1711476201.327,-3.169,6.443,8.064,-0.382,-0.061,-0.061
1711476201.433,-3.075,6.462,7.92,-0.382,-0.092,-0.115
1711476201.539,-3.154,6.292,7.851,-0.435,-0.084,-0.107
1711476201.644,-3.102,6.364,8.069,-0.351,-0.069,-0.092
1711476201.751,-2.932,6.438,8.095,-0.351,-0.069,-0.13
1711476201.857,-3.102,6.479,8.04,-0.382,-0.084,-0.092
1711476201.962,-3.056,6.443,7.937,-0.389,-0.069,-0.115
1711476202.068,-3.082,6.435,8.102,-0.305,-0.092,-0.084
1711476202.174,-3.085,6.388,7.839,-0.344,-0.076,-0.076
1711476202.281,-2.955,6.469,7.98,-0.252,-0.069,-0.115
1711476202.386,-3.104,6.433,7.963,-0.359,-0.076,-0.115
1711476202.492,-3.14,6.445,8.007,-0.427,-0.076,-0.115
1711476202.598,-3.114,6.39,7.999,-0.466,-0.046,-0.137
1711476202.704,-3.097,6.546,8.093,-0.389,-0.061,-0.099
1711476202.81,-3.078,6.438,7.947,-0.298,-0.084,-0.076
1711476202.916,-3.085,6.457,7.942,-0.366,-0.099,-0.092
1711476203.021,-3.123,6.464,7.944,-0.351,-0.092,-0.084
1711476203.127,-3.08,6.445,8.107,-0.359,-0.092,-0.076
1711476203.233,-3.018,6.45,7.889,-0.443,-0.069,-0.053
1711476203.339,-3.07,6.495,7.93,-0.321,-0.084,-0.084
1711476203.445,-3.085,6.462,7.92,-0.298,-0.092,-0.092
1711476203.55,-3.042,6.483,8.026,-0.397,-0.069,-0.115
1711476203.656,-3.111,6.455,7.971,-0.389,-0.061,-0.099
1711476203.762,-3.133,6.469,8.078,-0.412,-0.069,-0.115
1711476203.868,-3.03,6.469,8.021,-0.366,-0.076,-0.122
1711476203.974,-3.039,6.471,7.911,-0.359,-0.099,-0.099
1711476204.08,-3.154,6.476,8.052,-0.321,-0.076,-0.069
1711476204.185,-3.07,6.529,8.086,-0.344,-0.099,-0.084
1711476204.291,-2.946,6.287,7.892,-0.397,-0.069,-0.061
1711476204.397,-3.085,6.502,8.086,-0.397,-0.069,-0.092
1711476204.503,-3.104,6.498,7.942,-0.389,-0.084,-0.099
1711476204.609,-3.109,6.431,7.987,-0.313,-0.076,-0.092
1711476204.715,-3.128,6.459,7.875,-0.366,-0.092,-0.099
1711476204.82,-3.121,6.495,8.095,-0.42,-0.061,-0.076
1711476204.926,-3.061,6.431,8.1,-0.443,-0.084,-0.092
1711476205.032,-3.128,6.423,7.935,-0.176,-0.13,-0.061
1711476205.138,-3.114,6.421,7.995,-0.321,-0.069,-0.16
1711476205.244,-2.994,6.502,8.189,-0.137,-0.145,-0.206
1711476205.35,-2.946,6.505,7.963,-0.168,-0.053,-0.191
1711476205.455,-3.104,6.45,7.892,-0.168,-0.053,-0.115
1711476205.561,-3.037,6.488,8.054,-0.565,-0.191,-0.176
1711476205.667,-3.068,6.462,8.011,-0.397,-0.038,-0.084
1711476205.773,-3.178,6.399,8.119,-0.267,-0.168,-0.023
1711476205.879,-3.118,6.414,7.657,-0.565,0.214,0.206
1711476205.984,-3.097,6.565,8.033,-0.122,-0.061,-0.191
1711476206.09,-3.049,6.467,7.983,-0.267,-0.107,-0.107
1711476206.196,-3.056,6.584,8.095,-0.534,-0.107,-1.954
1711476206.302,-3.221,6.73,8.064,-0.244,0.573,-0.237
1711476206.408,-3.039,6.483,8.011,-0.122,-0.092,-0.176
1711476206.513,-3.006,6.589,7.757,0.061,-0.137,-0.13
1711476206.619,-3.149,6.285,8.16,-1.069,0.031,-0.26
1711476206.725,-3.169,6.352,8.145,0.412,-0.282,0.107
1711476206.831,-3.075,6.337,7.959,0.092,-0.176,0.008
1711476206.937,-3.02,6.498,7.822,-0.26,-0.069,-0.107
1711476207.042,-3.157,6.313,8.217,-0.489,-0.137,-0.107
1711476207.148,-3.262,6.344,8.066,-0.481,-0.046,-0.038
1711476207.254,-3.042,6.505,7.827,-0.366,0.0,-0.031
1711476207.36,-2.946,6.318,8.126,1.924,-0.229,-1.916
1711476207.466,-3.3,6.22,8.191,0.176,-0.145,0.008
1711476207.572,-3.212,6.565,8.021,-0.015,-0.145,0.099
1711476207.678,-2.908,6.486,8.011,-0.298,-0.092,-0.099
1711476207.784,-3.075,6.479,8.021,-0.542,-0.038,-0.153
1711476207.89,-3.264,6.39,7.92,-0.481,-0.107,-0.122
1711476207.995,-2.932,6.507,7.868,-0.076,-0.092,-0.115
1711476208.101,-3.104,6.493,7.901,-0.55,-0.061,-0.16
1711476208.207,-3.157,6.526,7.856,-0.374,-0.076,-0.099
1711476208.313,-3.075,6.45,8.009,-0.267,-0.099,-0.061
1711476208.418,-3.123,6.395,8.035,-0.374,-0.076,-0.092
1711476208.524,-3.094,6.308,8.052,-0.336,-0.084,-0.099
1711476208.63,-3.066,6.5,7.918,-0.29,-0.092,-0.084
1711476208.736,-3.104,6.445,7.973,-0.382,-0.076,-0.115
1711476208.842,-3.104,6.459,7.949,-0.397,-0.084,-0.107
1711476208.948,-3.145,6.431,8.033,-0.344,-0.092,-0.092
1711476209.054,-3.087,6.455,8.028,-0.389,-0.099,-0.115
1711476209.159,-3.118,6.292,7.959,-0.366,-0.092,-0.107
1711476209.265,-3.118,6.459,7.971,-0.328,-0.092,-0.115
1711476209.371,-3.123,6.443,7.999,-0.359,-0.107,-0.076
